X,Y
657.167,419.500
663.167,418.167
670.500,419.167
673.167,417.500
679.833,416.500
687.833,413.833
695.167,412.500
702.833,410.833
707.500,408.500
713.500,407.500
719.167,403.500
724.167,401.833
732.167,401.833
737.500,400.833
743.500,400.500
754.167,397.167
762.833,397.500
771.833,399.833
779.500,399.167
788.167,397.500
797.833,396.500
806.833,395.500
814.500,394.167
823.500,392.833
834.500,394.167
845.500,397.167
855.500,400.167
863.500,401.833
872.167,408.167
877.167,415.500
883.833,420.833
889.833,425.833
894.833,428.833
895.833,436.833
893.833,443.500
889.167,449.500
882.833,453.500
878.500,457.833
873.500,462.167
869.833,468.167
868.167,473.500
864.833,478.167
863.833,483.833
859.167,488.500
857.500,493.833
852.833,501.833
851.833,510.167
853.833,515.500
855.500,522.833
853.833,528.833
851.500,531.500
853.500,539.167
856.833,544.833
861.833,549.833
867.167,555.500
873.167,561.500
872.500,568.833
871.500,574.167
867.500,576.833
861.500,580.500
853.500,581.833
846.833,582.500
841.500,580.833
834.500,576.500
828.500,575.833
824.500,575.833
818.833,575.500
811.500,575.833
807.167,577.500
803.167,580.833
800.833,585.167
796.500,590.500
789.500,592.833
783.500,591.167
777.167,586.167
769.500,583.500
765.167,578.500
761.167,579.500
756.500,578.167
750.167,573.500
748.500,571.833
742.500,568.167
738.167,563.833
729.167,561.167
723.500,562.167
718.167,562.500
710.167,566.833
707.500,570.167
701.167,574.833
695.500,577.500
688.833,580.500
681.500,581.500
671.167,582.500
663.833,581.167
655.833,580.833
650.500,579.833
644.500,577.833
641.167,575.833
634.500,573.500
630.833,569.500
626.167,565.500
617.500,564.500
608.833,563.500
605.833,560.833
602.833,553.833
604.167,549.500
606.833,544.500
610.833,538.833
614.167,536.500
619.500,535.500
624.500,534.833
629.500,532.167
636.167,528.167
639.167,525.167
642.500,520.167
643.167,515.833
643.500,509.833
642.167,504.833
641.167,499.167
640.833,492.833
638.167,490.167
637.500,484.167
635.167,478.833
633.167,476.167
633.833,470.500
634.167,465.167
634.167,457.833
636.500,452.500
637.500,446.833
642.500,441.500
648.167,433.500
650.833,427.833
653.167,423.500
657.167,419.500
663.167,418.167
670.500,419.167
673.167,417.500
679.833,416.500
687.833,413.833
695.167,412.500
702.833,410.833
707.500,408.500
713.500,407.500
719.167,403.500
724.167,401.833
732.167,401.833
737.500,400.833
743.500,400.500
754.167,397.167
762.833,397.500
771.833,399.833
779.500,399.167
788.167,397.500
797.833,396.500
806.833,395.500
814.500,394.167
823.500,392.833
834.500,394.167
845.500,397.167
855.500,400.167
863.500,401.833
872.167,408.167
877.167,415.500
883.833,420.833
889.833,425.833
894.833,428.833
895.833,436.833
893.833,443.500
889.167,449.500
882.833,453.500
878.500,457.833
873.500,462.167
869.833,468.167
868.167,473.500
864.833,478.167
863.833,483.833
859.167,488.500
857.500,493.833
852.833,501.833
851.833,510.167
853.833,515.500
855.500,522.833
853.833,528.833
851.500,531.500
853.500,539.167
856.833,544.833
861.833,549.833
867.167,555.500
873.167,561.500
872.500,568.833
871.500,574.167
867.500,576.833
861.500,580.500
853.500,581.833
846.833,582.500
841.500,580.833
834.500,576.500
828.500,575.833
824.500,575.833
818.833,575.500
811.500,575.833
807.167,577.500
803.167,580.833
800.833,585.167
796.500,590.500
789.500,592.833
783.500,591.167
777.167,586.167
769.500,583.500
765.167,578.500
761.167,579.500
756.500,578.167
750.167,573.500
748.500,571.833
742.500,568.167
738.167,563.833
729.167,561.167
723.500,562.167
718.167,562.500
710.167,566.833
707.500,570.167
701.167,574.833
695.500,577.500
688.833,580.500
681.500,581.500
671.167,582.500
663.833,581.167
655.833,580.833
650.500,579.833
644.500,577.833
641.167,575.833
634.500,573.500
630.833,569.500
626.167,565.500
617.500,564.500
608.833,563.500
605.833,560.833
602.833,553.833
604.167,549.500
606.833,544.500
610.833,538.833
614.167,536.500
619.500,535.500
624.500,534.833
629.500,532.167
636.167,528.167
639.167,525.167
642.500,520.167
643.167,515.833
643.500,509.833
642.167,504.833
641.167,499.167
640.833,492.833
638.167,490.167
637.500,484.167
635.167,478.833
633.167,476.167
633.833,470.500
634.167,465.167
634.167,457.833
636.500,452.500
637.500,446.833
642.500,441.500
648.167,433.500
650.833,427.833
653.167,423.500
